  1, 125,  20,  21
  2, 130, 120, 109
  3,  15,   2,  16
  4,  16,  14,  15
  5,  17,  13,  14
  6, 110,  13,  18
  7, 111,  12, 110
  8,  36,   3,  37
  9,  38,  35,  36
 10, 136,  39, 112
 11, 137, 113, 112
 12, 113,  33, 112
 13, 114,  32, 113
 14, 135, 116, 114
 15, 134, 117, 116
 16, 133, 118, 117
 17, 132, 119, 118
 18, 119,  28, 118
 19, 129, 121, 120
 20, 129, 122, 121
 21, 128, 123, 122
 22, 127, 124, 123
 23, 138, 126,  52
 24, 138, 124, 126
 25, 139, 125, 108
 26, 110,  18,  19
 27,  17,  18,  13
 28,  16,  17,  14
 29, 137, 115, 113
 30, 137, 112,  40
 31, 112,  39,  40
 32, 136,  38,  39
 33,  37,  38,  36
 34, 138,   1, 108
 35, 127, 126, 124
 36, 128, 127, 123
 37, 129, 128, 122
 38, 130, 129, 120
 39, 131, 130, 109
 40, 131, 109, 119
 41, 133, 132, 118
 42, 134, 133, 117
 43, 135, 134, 116
 44, 135, 114, 115
 45, 108,   1,  11
 46, 111, 110,  19
 47, 109,  26,  27
 48, 119,  27,  28
 49, 139,  19,  20
 50, 110,  12,  13
 51, 111, 108,  11
 52, 111,  11,  12
 53, 112,  33,  34
 54, 136, 112,  34
 55, 115,  41,   4
 56, 113,  32,  33
 57, 115, 114, 113
 58, 114,  31,  32
 59, 115,   4,  42
 60, 135,  42,  43
 61, 116,  30,  31
 62, 116,  31, 114
 63, 117,  29,  30
 64, 117,  30, 116
 65, 118,  28,  29
 66, 118,  29, 117
 67, 132, 131, 119
 68, 119, 109,  27
 69, 120,  25,  26
 70, 120,  26, 109
 71, 121,  24,  25
 72, 121,  25, 120
 73, 122,  23,  24
 74, 122,  24, 121
 75, 123,  22,  23
 76, 123,  23, 122
 77, 124,  21,  22
 78, 124,  22, 123
 79, 139, 108, 111
 80, 125,  21, 124
 81, 126,  51,  52
 82, 138,  52,   1
 83, 127,  50,  51
 84, 127,  51, 126
 85, 128,  49,  50
 86, 128,  50, 127
 87, 129,  48,  49
 88, 129,  49, 128
 89, 130,  47,  48
 90, 130,  48, 129
 91, 131,  46,  47
 92, 131,  47, 130
 93, 132,  45,  46
 94, 132,  46, 131
 95, 133,  44,  45
 96, 133,  45, 132
 97, 134,  43,  44
 98, 134,  44, 133
 99, 135, 115,  42
100, 135,  43, 134
101, 136,  34,  35
102, 136,  35,  38
103, 137,  40,  41
104, 137,  41, 115
105, 138, 108, 125
106, 138, 125, 124
107, 139, 111,  19
108, 139,  20, 125
109, 161, 160, 143
110, 159,  57,  58
111, 199, 194, 193
112, 148,   6, 140
113, 183,  97,  98
114, 186, 169, 150
115, 144,  13, 142
116, 142,  12,  54
117,  53,  12,  11
118,  53,  11,   5
119,  11,   1,   5
120, 140,   6,   7
121, 181, 100, 180
122, 152,  65, 151
123, 153,  64, 152
124, 154,  63, 153
125, 155,  62, 154
126, 156,  61, 155
127, 157,  60, 156
128, 158,  59, 157
129, 175, 174, 158
130, 160, 141, 143
131, 161, 144,  55
132, 142,  54,  55
133,  53,  54,  12
134, 146, 145,  78
135, 145,  77,   9
136, 171, 163, 162
137, 192, 164, 163
138, 191, 165, 164
139, 190, 166, 165
140, 189, 167, 166
141, 188, 168, 167
142, 189, 188, 167
143, 185, 170, 169
144, 170,  67,  68
145, 147, 146,  79
146, 147,  80,  83
147,  82,  80,  81
148,  82,  81,  10
149, 141, 107,   2
150, 196, 174, 107
151, 176, 157, 156
152, 176, 175, 157
153, 177, 176, 156
154, 178, 177, 155
155, 179, 178, 154
156, 180, 179, 153
157, 182, 181, 151
158, 194, 140, 193
159, 197, 151, 195
160, 199, 198, 184
161, 186, 185, 169
162, 187, 186, 150
163, 187, 150, 168
164, 188, 187, 168
165, 190, 189, 166
166, 191, 190, 165
167, 192, 191, 164
168, 192, 163, 171
169, 172, 171, 162
170, 173, 162, 145
171, 173, 145, 146
172, 173, 146,  85
173, 147,  83,  84
174,  82,  83,  80
175, 140,   7,   8
176, 193,   8, 149
177, 141,   2,  15
178, 143, 141,  15
179, 144, 143,  14
180, 142,  13,  12
181, 143,  15,  14
182, 144,  14,  13
183, 144, 142,  55
184, 161,  55,  56
185, 173, 172, 162
186, 145,   9,  78
187, 146,  78,  79
188, 146,  84,  85
189, 147,  84, 146
190, 147,  79,  80
191, 182,  99, 181
192, 148,  66,   6
193, 149,   8,  67
194, 170,  68, 169
195, 150,  69,  70
196, 168,  70,  71
197, 151,  65,  66
198, 195,  66, 148
199, 181, 180, 152
200, 152,  64,  65
201, 180, 153, 152
202, 153,  63,  64
203, 179, 154, 153
204, 154,  62,  63
205, 178, 155, 154
206, 155,  61,  62
207, 177, 156, 155
208, 156,  60,  61
209, 175, 106, 174
210, 157,  59,  60
